DISTINCT_CUSTOMER,REVENUES,NUM_VISITS,AVG_QUANTITY,AVG_UNITPRICE,StockCode
5,100.59,32,3.2813,1.112500,21026
5,72.84,28,2.5714,1.046429,21027
2,44.01,23,2.0435,1.003913,21028
5,33.57,16,2.0625,0.970000,21030
3,26.82,11,2.1818,1.106364,21031
4,46.81,14,3.3571,0.927143,21032
17,1160.47,57,7.5789,3.337368,21033
125,330.60,168,2.0714,0.950000,21034
35,937.83,91,2.6923,4.674835,21035
3,29.50,3,3.3333,2.950000,21038
14,146.97,15,3.6667,2.998000,21039
4,17.85,4,1.7500,2.550000,21040
29,832.62,82,2.5122,4.764634,21041
28,645.83,45,2.1556,7.117111,21042
5,235.08,25,2.0000,4.450000,21043
6,173.71,30,3.2667,1.806333,21051
12,296.39,14,2.3571,9.024286,21054
17,552.21,28,2.2500,8.922857,21055
12,313.25,15,2.3333,8.950000,21056
16,161.91,22,8.3182,0.995909,21058
14,71.33,14,5.9286,0.905714,21059
9,39.74,10,4.4000,1.006000,21060
12,70.20,13,6.0000,0.970000,21061
12,86.70,12,8.5000,0.850000,21062
17,83.97,19,5.0526,0.974737,21063
8,162.78,11,2.3636,6.684545,21064
10,389.91,24,10.7917,3.331250,21065
6,48.79,9,3.8889,1.810000,21066
8,186.81,25,4.3600,2.000000,21067
22,692.91,54,10.7963,1.559630,21068
18,446.44,41,8.0976,1.881220,21069
5,142.41,14,7.9286,2.125714,21070
25,506.48,65,6.0308,1.684000,21071
21,297.05,37,9.6486,1.276757,21078
99,1708.62,147,13.7347,1.059456,21080
1,27.71,4,4.2500,1.630000,21082
4,19.18,4,7.0000,0.895000,21084
36,523.43,50,16.3200,0.787200,21086
3,22.24,3,9.3333,0.986667,21088
1,1.30,1,2.0000,0.650000,21089
4,30.38,7,4.5714,1.188571,21090
44,954.74,59,21.0339,0.981695,21094
2,8.50,2,5.0000,0.850000,21095
3,28.70,3,9.6667,1.120000,21096
36,1459.66,81,9.1235,1.800494,21098
7,66.44,13,2.1538,3.016154,21100
10,94.20,14,2.0000,3.778571,21106
14,576.54,27,7.4815,4.212222,21107
25,7540.85,48,71.6875,3.780000,21108
19,1264.77,53,9.4151,4.893396,21109
30,2260.04,68,11.6324,4.641912,21110
21,809.34,53,8.7925,2.755849,21111
19,983.74,45,14.6222,2.495778,21112
24,332.46,27,8.8148,2.544815,21114
16,292.68,25,1.6000,7.657200,21115
13,529.51,50,1.6200,7.102400,21116
1,6.75,1,1.0000,6.750000,21117
1,9.99,1,1.0000,9.990000,21120
47,1556.91,62,21.2581,1.405645,21121
40,969.02,53,15.2830,1.410943,21122
17,219.97,21,8.2857,1.367619,21123
29,645.31,33,16.8788,1.358788,21124
13,170.01,14,9.6429,1.340000,21125
14,157.54,18,6.7778,1.460000,21126
2,67.76,6,1.3333,8.976667,21128
1,6.95,1,1.0000,6.950000,21129
2,120.79,2,15.5000,6.020000,21131
1,34.00,2,4.0000,4.250000,21132
1,0.00,1,1.0000,0.000000,21134
21,337.85,25,7.8000,2.022000,21135
39,696.13,43,9.4651,1.883023,21136
31,7200.26,45,46.6667,4.142444,21137
20,588.85,26,10.5000,2.297692,21143
1,16.80,2,2.5000,3.360000,21144
1,30.00,1,24.0000,1.250000,21145
3,83.35,20,1.7000,2.441000,21147
39,976.33,78,9.2949,2.012051,21154
41,665.07,58,5.1724,2.598276,21155
47,1283.68,66,10.3939,2.396061,21156
4,96.28,12,2.5000,3.655833,21157
8,47.57,12,2.0833,2.234167,21158
9,44.88,10,2.7000,1.832000,21159
1,3.36,1,1.0000,3.360000,21160
12,83.75,18,2.5556,1.976667,21161
8,34.20,10,1.7000,2.023000,21162
10,71.34,17,2.0588,2.120000,21163
37,681.08,49,4.3265,3.552041,21164
48,1045.73,77,7.6494,2.422987,21165
84,2031.92,127,8.3780,2.432992,21166
3,44.82,10,15.6000,0.384000,21167
40,604.53,68,4.8971,2.488824,21169
9,81.42,14,3.5714,2.244286,21171
8,120.07,10,7.9000,2.002000,21172
32,704.91,67,4.3731,3.061343,21174
80,5508.94,123,22.8130,2.605772,21175
16,144.31,23,4.4348,1.889130,21179
115,3889.87,183,10.3497,2.595519,21181
1,6.72,2,2.0000,1.680000,21186
12,265.47,22,6.5000,2.334091,21187
8,191.72,12,4.6667,4.173333,21188
5,150.90,15,3.3333,2.904000,21189
4,166.10,4,28.5000,1.600000,21190
10,515.10,29,5.5517,3.404138,21191
11,436.54,37,5.1081,2.664865,21192
3,107.58,15,3.6000,2.039333,21194
11,664.10,44,9.4545,2.402045,21195
2,21.45,2,6.5000,1.650000,21196
4,61.41,4,18.2500,1.342500,21197
15,256.02,16,31.8750,1.086250,21198
19,307.36,23,23.4348,1.534348,21199
9,328.74,29,12.7931,1.589655,21200
12,330.00,18,7.3889,2.937778,21201
6,241.50,7,50.0000,1.078571,21202
6,49.68,7,3.8571,2.138571,21204
12,171.42,26,2.5385,2.616538,21205
20,501.96,23,26.8696,1.568696,21206
11,117.54,16,4.0000,1.970000,21207
3,95.46,13,4.3846,1.776923,21208
4,131.47,16,8.3125,1.728125,21209
60,1516.08,88,11.4205,1.813750,21210
9,167.29,13,8.4615,2.049231,21211
125,4445.99,199,38.5176,0.758945,21212
58,1319.95,85,25.6118,0.843765,21213
8,166.60,28,8.2143,1.176429,21215
33,1689.24,78,3.9487,7.480769,21216
46,1750.60,68,2.7059,9.871176,21217
21,1545.65,64,5.5156,6.703125,21218
7,164.05,36,4.2500,1.232778,21219
3,103.91,31,3.1935,1.189355,21220
8,124.81,27,4.0370,1.069259,21221
2,54.23,22,2.5000,1.082273,21222
12,206.77,28,5.8929,1.357143,21224
1,2.50,2,1.0000,1.250000,21226
59,1788.79,105,13.6762,1.616190,21231
85,3046.68,141,15.8511,1.641348,21232
34,536.65,59,10.7797,1.129153,21238
27,507.15,47,13.0426,1.197872,21239
28,516.50,51,12.1569,1.202941,21240
27,848.34,46,11.2174,2.175870,21242
20,677.63,33,12.9697,1.984242,21243
23,720.62,35,12.9143,1.947429,21244
19,378.67,29,7.9310,2.017586,21245
6,257.58,9,5.5556,5.510000,21246
6,25.50,7,1.5714,1.995714,21248
16,392.06,31,3.9355,4.361613,21249
2,11.69,2,1.5000,4.370000,21250
9,168.22,14,3.5714,4.218571,21251
3,117.78,11,2.3636,5.350000,21253
22,1217.05,60,2.3833,9.021333,21257
32,3106.89,78,4.0256,9.861923,21258
43,1547.10,70,3.8571,6.628857,21259
26,536.25,28,5.8929,3.250000,21260
2,126.66,13,1.2308,7.802308,21261
3,324.64,21,2.3810,7.160000,21262
1,23.64,4,1.0000,5.910000,21263
1,29.55,5,1.0000,5.910000,21264
1,17.61,3,1.0000,5.870000,21265
1,0.84,1,2.0000,0.420000,21268
3,26.99,3,1.0000,8.996667,21269
1,276.81,20,1.6500,8.389000,21270
16,193.05,33,4.1515,1.859091,21272
6,89.91,8,1.1250,9.990000,21275
3,29.97,3,1.0000,9.990000,21277
3,30.60,3,4.0000,2.550000,21278
4,106.34,14,2.0000,4.515000,21279
1,15.30,1,6.0000,2.550000,21280
4,106.82,10,3.5000,4.307000,21281
4,37.05,7,2.7143,2.395714,21284
3,31.55,4,2.5000,3.155000,21285
2,47.89,7,1.4286,4.687143,21286
6,68.77,6,8.8333,1.460000,21287
5,79.71,10,2.1000,4.726000,21288
6,286.25,7,32.7143,1.250000,21289
11,161.30,13,14.2308,1.036923,21291
5,296.76,5,88.8000,0.808000,21292
1,33.68,2,4.0000,4.210000,21293
7,169.81,10,12.5000,1.749000,21294
4,17.22,5,1.4000,2.604000,21306
3,10.50,3,1.6667,2.100000,21307
4,15.96,4,1.7500,2.415000,21311
24,531.17,47,13.3191,1.212553,21313
55,2049.84,106,7.8774,2.881698,21314
2,47.00,4,3.0000,5.140000,21316
3,51.77,4,1.7500,7.720000,21317
6,59.47,9,3.2222,2.394444,21318
5,93.61,7,8.0000,2.344286,21319
2,30.18,4,2.2500,4.357500,21320
10,147.57,16,3.0000,3.690625,21324
47,983.98,65,22.8615,0.767385,21326
21,259.05,47,2.4468,2.316170,21327
27,587.94,60,3.7667,2.444500,21328
24,286.21,49,2.4286,2.268163,21329
2,29.97,2,1.5000,9.990000,21331
2,49.95,2,2.5000,9.990000,21332
12,129.81,12,3.5833,3.196667,21333
1,2.95,1,1.0000,2.950000,21336
27,1434.32,35,4.1143,9.980857,21340
1,9.99,1,1.0000,9.990000,21344
6,361.56,7,21.1429,2.837143,21348
3,97.20,6,2.0000,8.370000,21349
7,242.10,8,4.7500,6.650000,21351
8,379.02,30,2.0667,6.090000,21352
22,264.08,29,7.2759,1.528276,21354
68,826.31,86,7.6279,1.388372,21355
15,190.23,30,4.1333,1.920333,21356
9,22.50,11,5.8182,1.136364,21357
16,131.20,20,5.0000,1.497000,21358
5,59.94,6,1.0000,9.990000,21359
7,69.69,7,1.0000,9.955714,21360
21,569.43,35,1.6286,9.990000,21361
25,590.58,46,2.2174,6.812609,21363
5,70.47,6,1.5000,7.830000,21364
5,129.60,7,5.7143,4.201429,21365
3,118.13,8,2.1250,7.370000,21366
4,27.79,7,1.0000,3.970000,21367
2,7.51,2,1.0000,3.755000,21368
1,18.99,3,1.0000,6.330000,21369
1,12.70,1,2.0000,6.350000,21370
2,35.56,2,6.5000,3.755000,21371
2,23.51,5,1.0000,4.702000,21372
2,30.24,3,2.0000,6.330000,21374
4,52.68,4,2.0000,6.585000,21375
4,38.15,4,1.7500,5.450000,21376
4,38.25,6,3.0000,2.505000,21377
6,44.61,6,4.3333,1.935000,21378
5,26.29,6,2.8333,1.670000,21379
26,542.72,34,5.2941,3.294706,21380
18,1165.95,31,24.1613,2.524839,21381
7,67.64,8,2.5000,3.675000,21382
19,113.61,26,6.3077,0.881923,21383
36,707.19,58,13.3966,1.151552,21385
4,48.98,5,10.6000,1.168000,21386
15,183.44,18,11.7778,1.030000,21389
19,473.76,25,14.9200,1.500000,21390
3,52.50,9,1.8889,3.732222,21391
4,39.76,5,3.4000,2.506000,21392
4,33.60,5,3.2000,2.100000,21393
2,15.83,2,3.5000,3.040000,21394
5,54.69,9,4.1111,2.187778,21397
6,85.96,12,2.5833,3.317500,21398
4,20.86,4,2.0000,2.607500,21399
3,6.71,3,5.0000,0.556667,21400
5,13.01,8,3.5000,0.576250,21401
1,7.51,7,1.2857,0.835714,21402
3,81.29,7,29.0000,0.712857,21403
19,411.70,36,2.1111,6.101667,21407
6,232.70,21,1.5238,7.448095,21408
1,8.47,1,1.0000,8.470000,21410
28,585.83,43,2.9070,5.501628,21411
5,55.02,11,2.9091,2.047273,21413
7,56.71,9,2.8889,2.334444,21415
3,15.00,3,1.3333,3.750000,21416
3,54.15,10,1.5000,3.748000,21417
1,14.98,2,1.5000,5.010000,21418
2,10.02,2,1.0000,5.010000,21420
6,115.79,7,28.7143,1.362857,21421
10,165.50,11,17.3636,0.994545,21422
4,221.19,6,13.5000,4.656667,21424
3,123.66,8,4.2500,5.622500,21425
5,152.86,5,16.0000,2.572000,21426
11,97.06,19,1.6316,3.325263,21427
25,924.66,38,5.8421,5.160000,21428
40,850.44,75,6.2000,2.261067,21429
48,1919.19,76,6.6316,4.700263,21430
12,201.31,18,8.6111,1.600000,21439
5,55.40,12,3.6667,1.375000,21441
5,53.31,8,6.0000,1.227500,21442
8,92.50,8,9.2500,1.250000,21445
16,107.60,26,2.7308,1.781154,21446
14,138.68,23,4.0435,1.677391,21447
17,162.05,26,3.5000,1.976154,21448
25,736.59,33,7.3636,3.739394,21452
7,38.88,11,3.8182,1.065455,21454
8,55.92,10,6.3000,1.087000,21455
2,17.50,2,7.0000,1.250000,21456
4,12.50,4,2.5000,1.250000,21457
5,46.13,7,4.8571,1.768571,21458
5,31.20,5,3.2000,1.950000,21459
5,23.40,5,2.4000,1.950000,21460
1,9.75,1,5.0000,1.950000,21461
9,94.50,9,1.5556,6.750000,21462
21,811.45,25,6.4400,5.652000,21463
18,246.50,23,2.5217,4.250000,21464
9,75.12,9,2.1111,4.180000,21465
16,131.37,17,2.0000,3.977647,21466
12,86.49,13,1.6154,4.345385,21467
7,63.75,7,2.4286,3.750000,21468
9,112.50,9,3.3333,3.750000,21469
15,191.69,21,2.1905,4.663810,21470
14,161.73,15,2.6000,4.266000,21471
16,228.95,19,3.0526,4.352632,21472
1,9.99,1,1.0000,9.990000,21473
2,19.98,2,1.0000,9.990000,21476
91,8992.56,162,14.0802,4.629753,21479
90,3564.99,157,6.4076,3.705223,21481
80,3017.31,126,5.7143,4.568651,21484
141,4919.78,204,4.6422,5.630000,21485
5,147.88,11,3.2727,4.042727,21486
3,557.88,16,4.7500,7.093125,21488
1,1.95,2,1.0000,0.975000,21491
13,821.50,75,5.2267,3.078000,21494
17,220.50,20,26.2500,0.420000,21495
14,157.50,14,26.7857,0.420000,21497
43,589.00,46,31.5217,0.416522,21498
25,368.50,28,33.0357,0.414286,21499
26,288.00,26,26.9231,0.416923,21500
6,63.00,6,25.0000,0.420000,21503
12,99.95,17,13.7059,0.517647,21504
32,271.20,50,12.8600,0.511800,21506
22,232.90,33,17.5152,0.557273,21507
20,144.76,39,8.3077,0.613333,21508
16,147.18,31,11.0968,0.620968,21509
11,72.13,28,6.0357,0.438571,21518
25,180.17,36,11.7778,0.536667,21519
11,73.30,27,6.2593,0.469630,21520
46,2654.88,85,4.0941,8.406000,21523
60,2328.03,90,3.4333,8.262000,21524
60,2028.90,79,3.3671,7.952025,21527
12,195.03,17,1.4706,8.022941,21528
6,70.72,10,2.0000,4.122000,21530
35,570.60,46,5.1957,2.729348,21531
50,998.16,63,3.1905,5.612063,21533
12,198.69,19,1.6842,6.805263,21534
27,935.22,38,10.8684,2.963684,21535
11,293.92,14,4.8571,5.105714,21537
2,18.75,2,2.5000,3.750000,21538
37,700.50,48,2.9792,5.146667,21539
16,210.62,32,7.0000,1.228750,21544
10,203.38,19,3.2632,3.872105,21547
4,112.64,19,2.3158,2.629474,21555
10,309.76,40,2.5500,3.219000,21556
8,761.40,50,5.5600,3.387600,21557
25,899.62,56,6.4107,3.768393,21558
51,1323.42,87,6.1034,3.158966,21559
22,615.03,31,8.4194,3.060323,21561
5,22.88,5,3.2000,1.826000,21562
28,562.45,41,4.5610,3.716829,21563
14,314.72,22,4.9091,3.453636,21564
8,72.91,12,2.0833,3.404167,21576
17,293.03,25,4.5600,3.149200,21577
21,350.99,27,5.5926,2.666296,21578
10,95.52,13,3.0769,2.674615,21579
7,49.50,7,3.1429,2.250000,21580
10,69.74,14,1.8571,3.052857,21581
28,310.20,30,6.2667,1.650000,21584
20,398.55,22,7.6818,2.488636,21586
17,360.90,18,8.3333,2.525000,21587
19,285.30,20,5.7000,2.527500,21588
16,155.00,17,7.2941,1.250000,21591
25,247.50,29,6.8276,1.250000,21592
1,8.34,2,1.0000,4.170000,21594
1,16.94,3,1.0000,5.646667,21595
22,522.11,22,8.5909,3.066364,21609
11,147.51,11,4.4545,3.219091,21613
13,309.86,24,9.0000,2.025417,21615
11,239.89,21,6.4286,2.435714,21616
15,326.92,27,5.9630,2.570741,21617
7,220.15,23,5.5217,2.396087,21618
11,251.20,25,6.2800,2.298400,21619
14,283.71,33,5.6061,2.540909,21620
48,4446.57,65,8.0462,8.741692,21621
15,416.34,22,3.5455,6.095455,21622
36,7198.60,46,23.6087,9.766739,21623
14,234.40,19,1.8947,7.013158,21624
15,467.79,34,1.9118,7.639412,21625
6,110.67,10,5.1000,3.072000,21626
7,169.83,14,1.2143,9.990000,21627
3,59.94,5,1.2000,9.990000,21628
3,31.80,4,1.0000,7.950000,21629
5,111.56,10,1.2000,9.366000,21630
11,693.73,22,7.0455,6.504545,21631
6,474.24,25,3.8400,7.252000,21632
4,430.18,19,4.5263,7.541579,21633
1,7.53,3,1.0000,2.510000,21634
